"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","207","完了率が整数になる場合の表示が正しいこと","chromium","2025-12-13","passed","2025-12-13","マイページ（APIモック） > 完了率","e2e/mypage/mypage-api.spec.ts","",""
"","11","totalやdoneが未定義やnullでも0%として返されること_1","chromium","2025-12-13","passed","2025-12-13","APIテスト > done_rateの計算処理 > 異常系","e2e/mypage/mypage-api.spec.ts","",""
"","131","タスク編集_ID有（/edit/id）はログイン画面にリダイレクトされること","chromium","2025-12-13","passed","2025-12-13","未ログイン状態 > 画面遷移","ci/smoke/all-pages-smoke.spec.ts","",""
"","140","ログアウト（/logout）はログイン画面にリダイレクトされること","chromium","2025-12-13","passed","2025-12-13","未ログイン状態 > 操作系URLへの直接アクセス","ci/smoke/all-pages-smoke.spec.ts","",""
"","231","APIエラー時にUIがクラッシュしないこと","chromium","2025-12-13","passed","2025-12-13","マイページ（APIモック） > 運用系","e2e/mypage/mypage-api.spec.ts","",""
"","154","基本要素が表示されていること","chromium","2025-12-13","passed","2025-12-13","タスク一覧画面 > 表示","e2e/tasks/tasks-list.spec.ts","",""
"","280","ログイン認証保持：user11","setup","2025-12-13","passed","2025-12-13","","e2e/helpers/auth.setup.ts","",""
"","208","タスク一覧画面_ビジュアルリグレッション","chromium","2025-12-13","passed","2025-12-13","","e2e/visual/tasks-list-v.spec.ts","",""
"","195","ユーザー名、パスワード共に不正でログインエラーが表示されること","chromium","2025-12-13","passed","2025-12-13","ログイン > 動作（異常系） > 不正","e2e/auth/login.spec.ts","",""
"","275","ログイン認証保持：user6","setup","2025-12-13","passed","2025-12-13","","e2e/helpers/auth.setup.ts","",""
"","358","ログイン認証保持：user3","setup","2025-12-13","passed","2025-12-13","","ci/helpers/auth.setup.ts","",""
"","276","タスク新規作成を完了できること","chromium","2025-12-13","passed","2025-12-13","タスク新規作成画面 > 新規作成 > 動作（正常系）","e2e/tasks/tasks-create.spec.ts","",""
